feature_name,organism,gene_symbol,is_current
E9PYI1,mus musculus,Znf568,1
E9PYK3,mus musculus,Parp4,1
E9PYW4,mus musculus,Rnf168,1
E9PYY5,mus musculus,Dnai4,1
E9PZ19,mus musculus,Igsf9b,1
E9PZ36,mus musculus,Pkhd1,1
E9PZI6,mus musculus,Katna1,1
E9PZJ8,mus musculus,Ascc3,1
E9PZM4,mus musculus,Chd2,1
E9PZP8,mus musculus,Herc1,1
E9PZQ0,mus musculus,Ryr1,1
E9PZZ1,mus musculus,Prdm13,1
E9Q0N2,mus musculus,Ptprh,1
E9Q0S6,mus musculus,Tns1,1
E9Q236,mus musculus,Abcc4,1
E9Q238,mus musculus,Kank1,1
E9Q2A6,mus musculus,Ptk2b,1
E9Q2H1,mus musculus,Ubr5,1
E9Q2M9,mus musculus,Wdfy4,1
E9Q2Z1,mus musculus,Cecr2,1
E9Q394,mus musculus,Akap13,1
E9Q3E1,mus musculus,Aldh3b2,1
E9Q3G8,mus musculus,Nup153,1
E9Q3I6,mus musculus,Mapk4,1
E9Q3L2,mus musculus,Pi4ka,1
E9Q3M5,mus musculus,Slc4a5,1
E9Q3P4,mus musculus,Cenpf,1
E9Q3T6,mus musculus,Prdm14,1
E9Q401,mus musculus,Ryr2,1
E9Q414,mus musculus,Apob,1
E9Q418,mus musculus,Tgfbr1,1
E9Q4F7,mus musculus,Ankrd11,1
E9Q4J9,mus musculus,Adgrf2,1
E9Q4M2,mus musculus,Lipe,1
E9Q4N7,mus musculus,Arid1b,1
E9Q4S1,mus musculus,Pde8b,1
E9Q4S7,mus musculus,Ptprj,1
E9Q4V2,mus musculus,Prdm9,1
E9Q4Z2,mus musculus,Acacb,1
E9Q512,mus musculus,Trip11,1
E9Q555,mus musculus,Rnf213,1
E9Q557,mus musculus,Dsp,1
E9Q5C9,mus musculus,Nolc1,1
E9Q5F9,mus musculus,Setd2,1
E9Q5G3,mus musculus,Kif23,1
E9Q5G7,mus musculus,Oog1,1
E9Q5K4,mus musculus,Cyp2c23,1
E9Q5K9,mus musculus,Ythdc1,1
E9Q5M6,mus musculus,Cfap44,1
E9Q5R7,mus musculus,Nlrp12,1
E9Q612,mus musculus,Ptpro,1
E9Q634,mus musculus,Myo1e,1
E9Q649,mus musculus,Gcnt4,1
E9Q6B2,mus musculus,Ccdc85c,1
E9Q6D8,mus musculus,C6,1
E9Q6R7,mus musculus,Utrn,1
E9Q6W4,mus musculus,Znf296,1
E9Q704,mus musculus,Pam,1
E9Q708,mus musculus,Fgfr2,1
E9Q7D5,mus musculus,Arhgef5,1
E9Q7E2,mus musculus,Arid2,1
E9Q7E8,mus musculus,Fgfr2,1
E9Q7F2,mus musculus,Rnf169,1
E9Q7G0,mus musculus,Numa1,1
E9Q7N9,mus musculus,Dnah11,1
E9Q7P8,mus musculus,Alpl,1
E9Q7R9,mus musculus,Cfap43,1
E9Q7T0,mus musculus,Fgfr2,1
E9Q7T7,mus musculus,Chadl,1
E9Q7X6,mus musculus,Heg1,1
E9Q7X7,mus musculus,Nrxn2,1
E9Q816,mus musculus,Cyp2w1,1
E9Q876,mus musculus,Abca12,1
E9Q8I9,mus musculus,Fry,1
E9Q8Q6,mus musculus,Ccdc141,1
E9Q8Q8,mus musculus,Spaca6,1
E9Q8T2,mus musculus,Prdm15,1
