feature_name,organism,gene_symbol,is_current
Q9BVQ7,homo sapiens,AFG2B,1
Q9Y4W6,homo sapiens,AFG32,1
Q6ULP2,homo sapiens,AFTIN,1
Q5BKT4,homo sapiens,AG10A,1
Q5I7T1,homo sapiens,AG10B,1
C9J202,homo sapiens,AG1L2,1
Q8TF27,homo sapiens,AGA11,1
P06280,homo sapiens,AGAL,1
Q9UPQ3,homo sapiens,AGAP1,1
Q99490,homo sapiens,AGAP2,1
Q96P47,homo sapiens,AGAP3,1
Q96P64,homo sapiens,AGAP4,1
A6NIR3,homo sapiens,AGAP5,1
Q5VW22,homo sapiens,AGAP6,1
Q5VUJ5,homo sapiens,AGAP7,1
Q5VTM2,homo sapiens,AGAP9,1
P52594,homo sapiens,AGFG1,1
O95081,homo sapiens,AGFG2,1
Q8N302,homo sapiens,AGGF1,1
Q9H0P7,homo sapiens,AGIT1,1
Q53H12,homo sapiens,AGK,1
O95394,homo sapiens,AGM1,1
Q9UL18,homo sapiens,AGO1,1
Q9UKV8,homo sapiens,AGO2,1
Q9H9G7,homo sapiens,AGO3,1
Q9HCK5,homo sapiens,AGO4,1
O95994,homo sapiens,AGR2,1
Q8TD06,homo sapiens,AGR3,1
Q86SQ6,homo sapiens,AGRA1,1
Q96PE1,homo sapiens,AGRA2,1
Q8IWK6,homo sapiens,AGRA3,1
O14514,homo sapiens,AGRB1,1
O60241,homo sapiens,AGRB2,1
O60242,homo sapiens,AGRB3,1
Q6QNK2,homo sapiens,AGRD1,1
Q7Z7M1,homo sapiens,AGRD2,1
Q14246,homo sapiens,AGRE1,1
Q9UHX3,homo sapiens,AGRE2,1
Q9BY15,homo sapiens,AGRE3,1
Q86SQ3,homo sapiens,AGRE4,1
P48960,homo sapiens,AGRE5,1
Q5T601,homo sapiens,AGRF1,1
Q8IZF7,homo sapiens,AGRF2,1
Q8IZF5,homo sapiens,AGRF3,1
Q8IZF3,homo sapiens,AGRF4,1
Q8IZF2,homo sapiens,AGRF5,1
Q9Y653,homo sapiens,AGRG1,1
Q8IZP9,homo sapiens,AGRG2,1
Q86Y34,homo sapiens,AGRG3,1
Q8IZF6,homo sapiens,AGRG4,1
Q8IZF4,homo sapiens,AGRG5,1
Q86SQ4,homo sapiens,AGRG6,1
Q96K78,homo sapiens,AGRG7,1
O00468,homo sapiens,AGRIN,1
O94910,homo sapiens,AGRL1,1
O95490,homo sapiens,AGRL2,1
Q9HAR2,homo sapiens,AGRL3,1
Q9HBW9,homo sapiens,AGRL4,1
O00253,homo sapiens,AGRP,1
Q8WXG9,homo sapiens,AGRV1,1
P21549,homo sapiens,AGT1,1
Q9BYV1,homo sapiens,AGT2,1
P30556,homo sapiens,AGTR1,1
P50052,homo sapiens,AGTR2,1
Q5TGY3,homo sapiens,AHDC1,1
Q8N157,homo sapiens,AHI1,1
Q8IVF2,homo sapiens,AHNK2,1
Q09666,homo sapiens,AHNK,1
A9YTQ3,homo sapiens,AHRR,1
P35869,homo sapiens,AHR,1
O95433,homo sapiens,AHSA1,1
Q719I0,homo sapiens,AHSA2,1
Q9NZD4,homo sapiens,AHSP,1
Q9GZX7,homo sapiens,AICDA,1
Q96BJ3,homo sapiens,AIDA,1
Q9BQI0,homo sapiens,AIF1L,1
P55008,homo sapiens,AIF1,1
O95831,homo sapiens,AIFM1,1
Q96NN9,homo sapiens,AIFM3,1
Q9NVV5,homo sapiens,AIG1,1
O14862,homo sapiens,AIM2,1
Q12904,homo sapiens,AIMP1,1
Q13155,homo sapiens,AIMP2,1
Q16352,homo sapiens,AINX,1
Q9NZN9,homo sapiens,AIPL1,1
O00170,homo sapiens,AIP,1
O43918,homo sapiens,AIRE,1
Q9NX04,homo sapiens,AIRIM,1
Q9UKB5,homo sapiens,AJAP1,1
C9J069,homo sapiens,AJM1,1
Q96IF1,homo sapiens,AJUBA,1
Q02040,homo sapiens,AK17A,1
P14550,homo sapiens,AK1A1,1
O60218,homo sapiens,AK1BA,1
C9JRZ8,homo sapiens,AK1BF,1
Q04828,homo sapiens,AK1C1,1
P52895,homo sapiens,AK1C2,1
P42330,homo sapiens,AK1C3,1
P17516,homo sapiens,AK1C4,1
P51857,homo sapiens,AK1D1,1
Q53H64,homo sapiens,AK40L,1
O43572,homo sapiens,AKA10,1
Q9UKA4,homo sapiens,AKA11,1
Q02952,homo sapiens,AKA12,1
Q86UN6,homo sapiens,AKA28,1
O43687,homo sapiens,AKA7A,1
